"Path ID","Unique ID","Rule ID","Left","Right"
"29","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"29","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"30","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"30","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"30","TRS_0_2_19_0","RR-02-3efe0d21e8950861-16-F","1.MNXM76","1.CMPD_0000000017"
"30","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"30","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"30","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"31","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"31","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"31","TRS_0_2_19_0","RR-02-3efe0d21e8950861-16-F","1.MNXM76","1.CMPD_0000000017"
"31","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"31","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"31","TRS_0_4_220_0","RR-02-818f9be6f685c457-16-F","1.MNXM729799:1.MNXM741485","1.CMPD_0000000039"
"32","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"32","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
"32","TRS_0_2_20_0","RR-02-00644e6ecc5dbcdc-16-F","1.MNXM741553","1.CMPD_0000000017"
"32","TRS_0_2_23_0","RR-02-41e4525ec9a98b84-16-F","1.CMPD_0000000028:1.MNXM1103936","1.CMPD_0000000016"
"32","TRS_0_3_33_0","RR-02-54a6324582be876b-16-F","1.CMPD_0000000039:1.MNXM159:1.MNXM729302","1.CMPD_0000000028"
"32","TRS_0_4_217_0","RR-02-fad25e6f338e6155-16-F","1.MNXM1102072:1.MNXM741485","1.CMPD_0000000039"
"33","TRS_0_0_5_0","RR-02-8aa509e8203cfa4e-16-F,RR-02-e36404262efe554a-16-F","1.CMPD_0000000011:1.MNXM26","1.TARGET_0000000001"
"33","TRS_0_1_2_0","RR-02-b447d0f56175ac46-16-F","1.CMPD_0000000016:1.CMPD_0000000017","1.CMPD_0000000011"
